                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84041,                 5.0028,                 1.2181,                      0,                      0,                      0,                      0,                 1.3371,                 5.2396,                  1.245,                      0,                      0,                      0
                      2,                0.78751,                 4.8948,                 1.2726,                      0,                      0,                      0,                      0,                 1.3474,                 5.2347,                 1.2298,             1.1263e-06,             1.1263e-06,             1.1263e-06
                      3,                  1.035,                    5.1,                 1.2843,                      0,                      0,                      0,                      0,                 1.3424,                 5.2256,                  1.224,              2.005e-06,              2.005e-06,              2.005e-06
                      4,                0.82073,                 5.0283,                 1.2192,                      0,                      0,                      0,                      0,                  1.372,                 5.2258,                 1.2283,             2.6362e-06,             2.6362e-06,             2.6362e-06
                      5,                0.74558,                 4.9401,                 1.2018,                      0,                      0,                      0,                      0,                 1.3843,                  5.223,                 1.2289,               3.02e-06,               3.02e-06,               3.02e-06
                      6,                0.80127,                 4.9332,                 1.2458,                      0,                      0,                      0,                      0,                 1.3886,                 5.2236,                 1.2287,             3.1563e-06,             3.1563e-06,             3.1563e-06
                      7,                0.81596,                 4.8449,                 1.3251,                      0,                      0,                      0,                      0,                  1.374,                 5.2143,                 1.2254,              3.045e-06,              3.045e-06,              3.045e-06
                      8,                0.90553,                  5.004,                 1.4233,                      0,                      0,                      0,                      0,                 1.3729,                 5.2114,                  1.227,             2.6863e-06,             2.6863e-06,             2.6863e-06
                      9,                0.92734,                 5.0958,                  1.201,                      0,                      0,                      0,                      0,                 1.3822,                 5.2067,                 1.2317,               2.08e-06,               2.08e-06,               2.08e-06
                     10,                0.81467,                 4.8709,                 1.2438,                      0,                      0,                      0,                      0,                  1.396,                 5.2055,                 1.2386,             1.2262e-06,             1.2262e-06,             1.2262e-06
                      1,                0.84041,                 5.0028,                 1.2181,                      0,                      0,                      0,                      0,                 1.3371,                 5.2396,                  1.245,                      0,                      0,                      0
                      2,                0.78751,                 4.8948,                 1.2726,                      0,                      0,                      0,                      0,                 1.3474,                 5.2347,                 1.2298,             1.1263e-06,             1.1263e-06,             1.1263e-06
                      3,                  1.035,                    5.1,                 1.2843,                      0,                      0,                      0,                      0,                 1.3424,                 5.2256,                  1.224,              2.005e-06,              2.005e-06,              2.005e-06
                      4,                0.82073,                 5.0283,                 1.2192,                      0,                      0,                      0,                      0,                  1.372,                 5.2258,                 1.2283,             2.6362e-06,             2.6362e-06,             2.6362e-06
                      5,                0.74558,                 4.9401,                 1.2018,                      0,                      0,                      0,                      0,                 1.3843,                  5.223,                 1.2289,               3.02e-06,               3.02e-06,               3.02e-06
                      6,                0.80127,                 4.9332,                 1.2458,                      0,                      0,                      0,                      0,                 1.3886,                 5.2236,                 1.2287,             3.1563e-06,             3.1563e-06,             3.1563e-06
                      7,                0.81596,                 4.8449,                 1.3251,                      0,                      0,                      0,                      0,                  1.374,                 5.2143,                 1.2254,              3.045e-06,              3.045e-06,              3.045e-06
                      8,                0.90553,                  5.004,                 1.4233,                      0,                      0,                      0,                      0,                 1.3729,                 5.2114,                  1.227,             2.6863e-06,             2.6863e-06,             2.6863e-06
                      9,                0.92734,                 5.0958,                  1.201,                      0,                      0,                      0,                      0,                 1.3822,                 5.2067,                 1.2317,               2.08e-06,               2.08e-06,               2.08e-06
                     10,                0.81467,                 4.8709,                 1.2438,                      0,                      0,                      0,                      0,                  1.396,                 5.2055,                 1.2386,             1.2262e-06,             1.2262e-06,             1.2262e-06
